participant_id	age	sex	handedness
sub-mit113	23	M	r
sub-mit075	23	M	r
sub-mit076	24	M	r
sub-mit082	23	M	r
sub-mit074	23	M	r
sub-mit079	23	M	r
sub-mit067	23	M	r
sub-mit017	22	F	r
sub-mit052	23	M	r
sub-mit032	23	M	r
sub-mit122	24	M	r
sub-mit004	24	M	r
sub-mitr009	26	F	r
sub-mitr008	22	F	r
sub-mit116	26	M	r
sub-mit042	22	F	r
sub-mit056	24	M	r
sub-mit003	23	M	r
sub-mit111	26	M	r
sub-mit007	24	M	r
sub-mit114	24	M	r
sub-mit106	23	M	r
sub-mit123	23	F	r
sub-mitb2017007	19	M	r
sub-mit022	23	F	r
sub-mit014	26	M	r
sub-mit104	23	M	r
sub-mit117	24	M	r
sub-mit054	24	M	r
sub-mit087	25	M	r
sub-mit118	24	F	r
sub-mit072	23	M	r
sub-mit035	21	M	r
sub-mit096	22	M	r
sub-mit081	22	M	r
sub-mit085	23	F	r
sub-mit040	25	M	r
sub-mit081	22	M	r
sub-mit051	23	M	r
sub-mit091	24	M	r
sub-mit099	22	M	r
sub-mit024	23	M	r
sub-mit093	23	F	r
sub-mit086	25	F	r
sub-mit108	22	M	r
sub-mit121	24	M	r
sub-mit023	24	M	r
sub-mit107	23	M	r
sub-mit039	22	M	r
sub-mit100	23	F	r
sub-mit097	26	M	r
sub-mit080	25	M	r
sub-mit061	22	M	r
sub-mit002	23	F	r
sub-mit064	23	M	r
