participant_id	sex	age
sub-001	M	40
sub-002	F	21
sub-003	F	21
sub-004	M	29
sub-005	F	21
sub-006	F	23
sub-007	M	21
sub-008	M	24
sub-009	M	29
sub-010	F	40
sub-011	F	26
sub-012	M	25
sub-013	M	37
sub-014	F	27
sub-015	M	29
sub-016	F	23
sub-017	F	25
sub-018	M	23
sub-019	F	24
sub-020	M	24
sub-021	F	27
sub-022	M	23
sub-023	F	30
sub-024	M	23
sub-025	M	40
sub-026	F	26
sub-027	F	25
sub-028	M	22
sub-029	M	33
sub-030	M	30
sub-031	M	26
sub-032	M	29
sub-033	F	35
sub-034	M	24
sub-035	M	26
sub-036	M	27
sub-037	F	27
sub-038	F	27
sub-039	F	23
sub-040	M	22
sub-041	M	35
sub-042	F	37
sub-043	M	24
sub-044	F	31
sub-045	F	21
sub-046	F	37
sub-047	F	25
sub-048	M	30
sub-049	M	23
sub-050	M	24
sub-051	M	28
sub-052	M	23
sub-053	M	21
sub-054	M	23
sub-055	F	25
sub-056	M	25
sub-057	F	23
sub-058	F	24
sub-059	F	22
sub-060	M	24
sub-061	F	22
sub-062	F	22
sub-063	F	30
sub-064	F	24
sub-065	F	24
sub-066	M	23
sub-130	F	30
sub-132	F	23
sub-140	F	22
sub-141	F	24
sub-143	M	35
sub-148	F	26
sub-149	M	27
sub-150	F	23
sub-152	M	21
sub-153	F	22
